aimee-dechambeau,4.1,3.6,3.4,3.3,2.3,5.0,25.0,259.0,0.0,9.0,3.0,77.0
aimee-frey,1.8,3.0,1.0,4.0,1.0,1.0,14.0,139.0,0.0,1.0,1.0,0.0
aimee-pohl,1.5,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
airk-stiltner,1.8,1.0,1.0,3.0,1.0,2.0,3.0,9.0,0.0,2.0,1.0,0.0
aiselle-de-vera,1.7,2.6,1.0,1.0,1.0,2.0,9.0,88.0,0.0,0.0,0.0,0.0
aj-canaria,2.2,2.5,1.0,4.0,1.0,2.0,9.0,84.0,0.0,3.0,2.0,0.0
ajay-singh,2.3,1.6,5.0,4.3,4.5,1.0,4.0,32.0,0.0,3.0,3.0,0.0
ajeet-singh,1.1,1.0,1.0,1.0,1.4,1.0,2.0,4.0,0.0,0.0,0.0,0.0
ajendra-ray,1.6,2.2,5.0,1.0,2.3,1.0,15.0,63.0,0.0,0.0,0.0,0.0
akash-chander,1.1,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
akash-parikh,4.0,2.9,3.1,4.0,2.2,5.0,17.0,128.0,0.0,4.0,4.0,0.0
aklile-esayase,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
akos-horvath,1.2,1.0,1.0,1.0,2.3,1.0,2.0,6.0,0.0,0.0,0.0,0.0
akvietnam,1.0,1.0,1.0,1.0,1.1,1.0,2.0,6.0,0.0,0.0,0.0,0.0
al-bush,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
al-emid,1.7,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0
al-espenschied,3.2,3.2,1.0,3.4,1.0,4.0,31.0,173.0,0.0,6.0,4.0,1.0
al-foders,1.4,1.3,1.0,3.3,1.0,1.0,4.0,24.0,0.0,3.0,2.0,0.0
al-harris,1.7,2.4,1.0,1.0,1.0,2.0,13.0,77.0,0.0,0.0,0.0,0.0
al-hydar,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
al-tucker,1.1,1.1,1.0,1.0,1.8,1.0,4.0,20.0,0.0,0.0,0.0,0.0
al-xandrya-fortner,1.3,1.0,1.0,3.0,1.0,1.0,2.0,6.0,0.0,1.0,1.0,0.0
alabama-students,1.1,1.0,1.0,1.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alabama-students.1,0,0,0,0,0,0,0,0,0,0,0,0
alaminxx,1.0,1.0,1.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alan-barros,1.5,1.4,1.0,4.0,1.1,1.0,3.0,28.0,0.0,1.0,1.0,0.0
alan-brody,2.3,1.1,4.5,4.0,1.8,2.0,5.0,21.0,0.0,4.0,2.0,0.0
alan-burnes,1.3,1.0,1.0,3.0,1.0,1.0,3.0,17.0,0.0,2.0,2.0,0.0
alan-craig,1.5,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
alan-davis,1.1,1.4,1.0,1.0,1.0,1.0,5.0,26.0,0.0,0.0,0.0,0.0
alan-douglass-minor,2.1,2.9,1.0,3.0,1.0,2.0,8.0,127.0,0.0,1.0,1.0,0.0
alan-franciose,1.7,2.0,1.0,1.0,1.2,2.0,5.0,50.0,0.0,0.0,0.0,0.0
alan-frankel,1.1,1.0,3.0,1.0,1.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0
alan-horn,3.9,4.0,3.3,3.1,4.4,4.0,39.0,385.0,0.0,6.0,5.0,24.0
alan-john-borner,1.7,1.0,1.0,1.0,2.2,2.0,1.0,5.0,0.0,0.0,0.0,0.0
alan-lake,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
alan-levitt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
alan-macnab,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alan-mark-de-luzuriaga,1.1,1.0,1.0,1.0,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
