b'tp://www.corpwatch.org',2.5,2.5,2.5,3.5,4.8,4.1,4.5
b'tp://www.bostonreview.net',3.9,3.9,3.7,3.7,4.0,3.7,3.8
b'tp://www.techcrunch.com',3.3,3.1,2.8,2.8,3.0,2.9,3.1
b'tp://www.thinkprogress.org',3.4,3.5,3.6,3.3,3.6,3.2,3.2
b'tp://www.benningtonbanner.com',2.5,2.5,2.5,4.5,4.5,4.5,2.5
b'tp://www.consortiumnews.com',3.8,3.9,3.9,3.7,3.8,3.7,3.6
b'tp://www.pbs.org/moyers/journal',3.9,3.9,3.8,3.6,3.9,3.9,4.2
b'tp://www.miller-mccune.com',3.9,3.8,4.0,3.9,3.9,3.8,3.9
b'tp://www.cbsnews.com/sections/60minutes/main3415.shtm',3.8,3.8,3.8,3.7,4.0,3.8,3.8
b'tp://citypaper.co',3.7,3.8,4.0,3.7,3.9,3.5,4.1
b'tp://www.examiner.com/baltimor',2.9,3.0,3.4,3.2,3.1,2.9,2.8
b'tp://www.popsci.co',3.7,3.7,3.8,3.8,4.0,3.6,3.3
b'tp://www.jewishworldreview.com',2.1,2.2,1.9,1.4,2.3,2.0,1.8
b'tp://hosted.ap.org/dynamic/fronts/HOME?SITE=AP&SECTION=HOM',3.4,3.5,3.7,3.6,3.6,3.4,3.6
b'tp://www.subelsky.com',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://www.telegraph.co.uk',3.2,3.1,3.1,3.0,3.4,3.0,3.1
b'tp://steinershow.org/steinershow',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://www.thedailyshow.co',4.0,4.0,4.1,3.6,3.8,3.7,4.3
b'tp://www.denverpost.com',3.0,3.0,3.4,3.0,2.8,2.7,3.0
b'tp://baltimoretimes-online.com',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://www.captainsquartersblog.com',2.7,2.7,2.6,2.5,2.9,2.8,2.6
b'tp://www.mcclatchydc.com',3.7,3.7,3.7,3.7,3.9,3.7,4.0
b'tp://www.greatfallstribune.com',2.5,2.5,3.9,4.0,2.0,3.6,4.5
b'tp://www.newsweek.com',3.5,3.5,3.6,3.4,3.5,3.4,3.5
b'tp://www.3quarksdaily.com',3.6,3.6,3.3,3.4,3.7,3.5,3.3
b'tp://www.csmonitor.com',3.6,3.6,3.6,3.7,3.7,3.6,4.0
b'tp://www.observer.com',3.2,3.2,3.2,3.3,3.3,3.2,3.5
b'tp://www.gregpalast.com',3.8,3.8,3.3,3.3,3.9,3.6,3.7
b'tp://www.theregister.co.uk',3.1,3.2,3.3,3.6,3.3,3.1,3.3
b'tp://www.oneworld.net',3.2,3.1,3.5,3.1,3.3,3.5,3.3
b'tp://www.defense.gov/news/articles.asp',2.5,2.5,3.3,3.7,3.0,2.9,3.0
b'tp://pos-psych.co',3.2,3.2,3.0,3.2,3.3,3.1,3.2
b'tp://www.kaisernetwork.org',4.0,4.1,4.2,4.0,4.5,3.4,4.0
b'tp://baltimorecrime.blogspot.com',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://www.worldpoliticsreview.com',3.6,3.6,3.4,3.9,3.5,3.7,3.2
b'tp://www.businessweek.com',3.6,3.6,3.8,3.6,3.7,3.6,3.7
b'tp://battellemedia.com',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://www.consortiumnews.com',3.8,3.9,3.9,3.7,3.8,3.7,3.6
b'tp://www.mercurynews.com/mld/mercurynews',3.6,3.6,3.8,3.7,3.9,3.3,3.7
b'tp://www.msnbc.msn.com/id/3032608',2.5,2.5,3.0,3.8,3.5,3.2,3.8
b'tp://www.wbal.co',3.4,3.3,3.9,3.7,3.5,3.2,3.5
b'tp://www.upi.com',3.2,3.2,3.3,3.6,3.4,3.2,3.7
b'tp://www.commentarymagazine.com',3.0,3.0,3.0,2.9,2.8,2.9,3.1
b'tp://www.miamiherald.com',3.6,3.6,3.5,3.6,3.6,3.6,3.5
b'tp://www.jewishtimes.com',2.5,2.5,4.0,4.0,2.5,3.7,3.0
b'tp://www.commondreams.org',3.6,3.6,3.6,3.6,3.7,3.5,3.5
b'tp://michaelyon.blogspot.com',3.5,3.5,3.8,3.4,3.6,3.6,3.1
b'tp://www.npr.org',3.6,3.6,3.7,3.6,3.6,3.6,3.9
b'tp://www.alternet.org',3.8,3.8,3.7,3.5,3.8,3.7,3.8
b'tp://www.chicagotribune.com',3.5,3.5,3.5,3.6,3.7,3.5,3.5
b'tp://www.propublica.org',3.9,3.9,4.0,3.8,4.2,3.7,3.8
b'tp://mashable.co',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://icga.blogspot.com',2.5,2.5,3.8,3.8,3.9,3.6,3.0
b'tp://glenngreenwald.blogspot.com',3.7,3.7,3.8,3.1,3.9,3.6,3.5
b'tp://www.politico.com',3.4,3.4,3.6,3.5,3.4,3.3,3.3
b'tp://www.bloomberg.com',3.5,3.6,3.7,3.6,3.6,3.4,3.6
b'tp://sci-con.or',2.5,2.5,2.5,2.5,2.5,2.5,2.5
